# FC	ROI1	ROI2
1	2	1
2	3	1
3	4	1
4	5	1
5	6	1
6	7	1
7	8	1
8	9	1
9	10	1
10	11	1
11	12	1
12	13	1
13	14	1
14	15	1
15	16	1
16	17	1
17	18	1
18	19	1
19	20	1
20	21	1
21	22	1
22	23	1
23	24	1
24	25	1
25	26	1
26	27	1
27	28	1
28	29	1
29	30	1
30	31	1
31	32	1
32	33	1
33	34	1
34	35	1
35	36	1
36	37	1
37	38	1
38	39	1
39	40	1
40	41	1
41	42	1
42	43	1
43	44	1
44	45	1
45	46	1
46	47	1
47	48	1
48	49	1
49	50	1
50	51	1
51	52	1
52	53	1
53	54	1
54	55	1
55	56	1
56	57	1
57	58	1
58	59	1
59	60	1
60	61	1
61	62	1
62	63	1
63	64	1
64	65	1
65	66	1
66	67	1
67	68	1
68	69	1
69	70	1
70	71	1
71	72	1
72	73	1
73	74	1
74	75	1
75	76	1
76	77	1
77	78	1
78	79	1
79	80	1
80	81	1
81	82	1
82	83	1
83	84	1
84	85	1
85	86	1
86	87	1
87	88	1
88	89	1
89	90	1
90	91	1
91	92	1
92	93	1
93	94	1
94	95	1
95	96	1
96	97	1
97	98	1
98	99	1
99	100	1
100	101	1
101	102	1
102	103	1
103	104	1
104	105	1
105	106	1
106	107	1
107	108	1
108	109	1
109	110	1
110	111	1
111	112	1
112	113	1
113	114	1
114	115	1
115	116	1
116	117	1
117	118	1
118	119	1
119	120	1
120	121	1
121	122	1
122	123	1
123	124	1
124	125	1
125	126	1
126	127	1
127	128	1
128	129	1
129	130	1
130	131	1
131	132	1
132	133	1
133	134	1
134	135	1
135	136	1
136	137	1
137	138	1
138	139	1
139	140	1
140	3	2
141	4	2
142	5	2
143	6	2
144	7	2
145	8	2
146	9	2
147	10	2
148	11	2
149	12	2
150	13	2
151	14	2
152	15	2
153	16	2
154	17	2
155	18	2
156	19	2
157	20	2
158	21	2
159	22	2
160	23	2
161	24	2
162	25	2
163	26	2
164	27	2
165	28	2
166	29	2
167	30	2
168	31	2
169	32	2
170	33	2
171	34	2
172	35	2
173	36	2
174	37	2
175	38	2
176	39	2
177	40	2
178	41	2
179	42	2
180	43	2
181	44	2
182	45	2
183	46	2
184	47	2
185	48	2
186	49	2
187	50	2
188	51	2
189	52	2
190	53	2
191	54	2
192	55	2
193	56	2
194	57	2
195	58	2
196	59	2
197	60	2
198	61	2
199	62	2
200	63	2
201	64	2
202	65	2
203	66	2
204	67	2
205	68	2
206	69	2
207	70	2
208	71	2
209	72	2
210	73	2
211	74	2
212	75	2
213	76	2
214	77	2
215	78	2
216	79	2
217	80	2
218	81	2
219	82	2
220	83	2
221	84	2
222	85	2
223	86	2
224	87	2
225	88	2
226	89	2
227	90	2
228	91	2
229	92	2
230	93	2
231	94	2
232	95	2
233	96	2
234	97	2
235	98	2
236	99	2
237	100	2
238	101	2
239	102	2
240	103	2
241	104	2
242	105	2
243	106	2
244	107	2
245	108	2
246	109	2
247	110	2
248	111	2
249	112	2
250	113	2
251	114	2
252	115	2
253	116	2
254	117	2
255	118	2
256	119	2
257	120	2
258	121	2
259	122	2
260	123	2
261	124	2
262	125	2
263	126	2
264	127	2
265	128	2
266	129	2
267	130	2
268	131	2
269	132	2
270	133	2
271	134	2
272	135	2
273	136	2
274	137	2
275	138	2
276	139	2
277	140	2
278	4	3
279	5	3
280	6	3
281	7	3
282	8	3
283	9	3
284	10	3
285	11	3
286	12	3
287	13	3
288	14	3
289	15	3
290	16	3
291	17	3
292	18	3
293	19	3
294	20	3
295	21	3
296	22	3
297	23	3
298	24	3
299	25	3
300	26	3
301	27	3
302	28	3
303	29	3
304	30	3
305	31	3
306	32	3
307	33	3
308	34	3
309	35	3
310	36	3
311	37	3
312	38	3
313	39	3
314	40	3
315	41	3
316	42	3
317	43	3
318	44	3
319	45	3
320	46	3
321	47	3
322	48	3
323	49	3
324	50	3
325	51	3
326	52	3
327	53	3
328	54	3
329	55	3
330	56	3
331	57	3
332	58	3
333	59	3
334	60	3
335	61	3
336	62	3
337	63	3
338	64	3
339	65	3
340	66	3
341	67	3
342	68	3
343	69	3
344	70	3
345	71	3
346	72	3
347	73	3
348	74	3
349	75	3
350	76	3
351	77	3
352	78	3
353	79	3
354	80	3
355	81	3
356	82	3
357	83	3
358	84	3
359	85	3
360	86	3
361	87	3
362	88	3
363	89	3
364	90	3
365	91	3
366	92	3
367	93	3
368	94	3
369	95	3
370	96	3
371	97	3
372	98	3
373	99	3
374	100	3
375	101	3
376	102	3
377	103	3
378	104	3
379	105	3
380	106	3
381	107	3
382	108	3
383	109	3
384	110	3
385	111	3
386	112	3
387	113	3
388	114	3
389	115	3
390	116	3
391	117	3
392	118	3
393	119	3
394	120	3
395	121	3
396	122	3
397	123	3
398	124	3
399	125	3
400	126	3
401	127	3
402	128	3
403	129	3
404	130	3
405	131	3
406	132	3
407	133	3
408	134	3
409	135	3
410	136	3
411	137	3
412	138	3
413	139	3
414	140	3
415	5	4
416	6	4
417	7	4
418	8	4
419	9	4
420	10	4
421	11	4
422	12	4
423	13	4
424	14	4
425	15	4
426	16	4
427	17	4
428	18	4
429	19	4
430	20	4
431	21	4
432	22	4
433	23	4
434	24	4
435	25	4
436	26	4
437	27	4
438	28	4
439	29	4
440	30	4
441	31	4
442	32	4
443	33	4
444	34	4
445	35	4
446	36	4
447	37	4
448	38	4
449	39	4
450	40	4
451	41	4
452	42	4
453	43	4
454	44	4
455	45	4
456	46	4
457	47	4
458	48	4
459	49	4
460	50	4
461	51	4
462	52	4
463	53	4
464	54	4
465	55	4
466	56	4
467	57	4
468	58	4
469	59	4
470	60	4
471	61	4
472	62	4
473	63	4
474	64	4
475	65	4
476	66	4
477	67	4
478	68	4
479	69	4
480	70	4
481	71	4
482	72	4
483	73	4
484	74	4
485	75	4
486	76	4
487	77	4
488	78	4
489	79	4
490	80	4
491	81	4
492	82	4
493	83	4
494	84	4
495	85	4
496	86	4
497	87	4
498	88	4
499	89	4
500	90	4
501	91	4
502	92	4
503	93	4
504	94	4
505	95	4
506	96	4
507	97	4
508	98	4
509	99	4
510	100	4
511	101	4
512	102	4
513	103	4
514	104	4
515	105	4
516	106	4
517	107	4
518	108	4
519	109	4
520	110	4
521	111	4
522	112	4
523	113	4
524	114	4
525	115	4
526	116	4
527	117	4
528	118	4
529	119	4
530	120	4
531	121	4
532	122	4
533	123	4
534	124	4
535	125	4
536	126	4
537	127	4
538	128	4
539	129	4
540	130	4
541	131	4
542	132	4
543	133	4
544	134	4
545	135	4
546	136	4
547	137	4
548	138	4
549	139	4
550	140	4
551	6	5
552	7	5
553	8	5
554	9	5
555	10	5
556	11	5
557	12	5
558	13	5
559	14	5
560	15	5
561	16	5
562	17	5
563	18	5
564	19	5
565	20	5
566	21	5
567	22	5
568	23	5
569	24	5
570	25	5
571	26	5
572	27	5
573	28	5
574	29	5
575	30	5
576	31	5
577	32	5
578	33	5
579	34	5
580	35	5
581	36	5
582	37	5
583	38	5
584	39	5
585	40	5
586	41	5
587	42	5
588	43	5
589	44	5
590	45	5
591	46	5
592	47	5
593	48	5
594	49	5
595	50	5
596	51	5
597	52	5
598	53	5
599	54	5
600	55	5
601	56	5
602	57	5
603	58	5
604	59	5
605	60	5
606	61	5
607	62	5
608	63	5
609	64	5
610	65	5
611	66	5
612	67	5
613	68	5
614	69	5
615	70	5
616	71	5
617	72	5
618	73	5
619	74	5
620	75	5
621	76	5
622	77	5
623	78	5
624	79	5
625	80	5
626	81	5
627	82	5
628	83	5
629	84	5
630	85	5
631	86	5
632	87	5
633	88	5
634	89	5
635	90	5
636	91	5
637	92	5
638	93	5
639	94	5
640	95	5
641	96	5
642	97	5
643	98	5
644	99	5
645	100	5
646	101	5
647	102	5
648	103	5
649	104	5
650	105	5
651	106	5
652	107	5
653	108	5
654	109	5
655	110	5
656	111	5
657	112	5
658	113	5
659	114	5
660	115	5
661	116	5
662	117	5
663	118	5
664	119	5
665	120	5
666	121	5
667	122	5
668	123	5
669	124	5
670	125	5
671	126	5
672	127	5
673	128	5
674	129	5
675	130	5
676	131	5
677	132	5
678	133	5
679	134	5
680	135	5
681	136	5
682	137	5
683	138	5
684	139	5
685	140	5
686	7	6
687	8	6
688	9	6
689	10	6
690	11	6
691	12	6
692	13	6
693	14	6
694	15	6
695	16	6
696	17	6
697	18	6
698	19	6
699	20	6
700	21	6
701	22	6
702	23	6
703	24	6
704	25	6
705	26	6
706	27	6
707	28	6
708	29	6
709	30	6
710	31	6
711	32	6
712	33	6
713	34	6
714	35	6
715	36	6
716	37	6
717	38	6
718	39	6
719	40	6
720	41	6
721	42	6
722	43	6
723	44	6
724	45	6
725	46	6
726	47	6
727	48	6
728	49	6
729	50	6
730	51	6
731	52	6
732	53	6
733	54	6
734	55	6
735	56	6
736	57	6
737	58	6
738	59	6
739	60	6
740	61	6
741	62	6
742	63	6
743	64	6
744	65	6
745	66	6
746	67	6
747	68	6
748	69	6
749	70	6
750	71	6
751	72	6
752	73	6
753	74	6
754	75	6
755	76	6
756	77	6
757	78	6
758	79	6
759	80	6
760	81	6
761	82	6
762	83	6
763	84	6
764	85	6
765	86	6
766	87	6
767	88	6
768	89	6
769	90	6
770	91	6
771	92	6
772	93	6
773	94	6
774	95	6
775	96	6
776	97	6
777	98	6
778	99	6
779	100	6
780	101	6
781	102	6
782	103	6
783	104	6
784	105	6
785	106	6
786	107	6
787	108	6
788	109	6
789	110	6
790	111	6
791	112	6
792	113	6
793	114	6
794	115	6
795	116	6
796	117	6
797	118	6
798	119	6
799	120	6
800	121	6
801	122	6
802	123	6
803	124	6
804	125	6
805	126	6
806	127	6
807	128	6
808	129	6
809	130	6
810	131	6
811	132	6
812	133	6
813	134	6
814	135	6
815	136	6
816	137	6
817	138	6
818	139	6
819	140	6
820	8	7
821	9	7
822	10	7
823	11	7
824	12	7
825	13	7
826	14	7
827	15	7
828	16	7
829	17	7
830	18	7
831	19	7
832	20	7
833	21	7
834	22	7
835	23	7
836	24	7
837	25	7
838	26	7
839	27	7
840	28	7
841	29	7
842	30	7
843	31	7
844	32	7
845	33	7
846	34	7
847	35	7
848	36	7
849	37	7
850	38	7
851	39	7
852	40	7
853	41	7
854	42	7
855	43	7
856	44	7
857	45	7
858	46	7
859	47	7
860	48	7
861	49	7
862	50	7
863	51	7
864	52	7
865	53	7
866	54	7
867	55	7
868	56	7
869	57	7
870	58	7
871	59	7
872	60	7
873	61	7
874	62	7
875	63	7
876	64	7
877	65	7
878	66	7
879	67	7
880	68	7
881	69	7
882	70	7
